delta,theta,alpha,beta,gamma,id
4.7949829087686964e-05,3.41841174736326e-05,0.00043129795004617576,1.2533835069981577e-05,2.993889503161123e-05,S01
6.0772331816874426e-05,5.287760405318631e-05,0.0003617612710365082,4.5907740040613146e-05,3.407644717232723e-05,S02
2.7258581155053265e-05,-1.0196785654122012e-06,0.0005634657485119218,5.476461149305499e-05,1.851762749027883e-05,S03
6.456514342203764e-05,0.00026145494134777175,0.00020777754477576245,2.3526595007944616e-05,1.941526056366344e-05,S04
8.163939945577866e-05,7.878356207805418e-05,0.0003706473735757271,1.976424164121754e-05,3.4768026317195297e-06,S05
2.2355029042785905e-05,2.9593511733177706e-05,0.00011773742869626397,8.52699263047214e-05,2.1626678267542875e-05,S06
-4.6621679912297895e-06,8.374669654993124e-05,9.51302825729498e-05,6.428818649486655e-05,2.8372907293414584e-05,S07
5.847419427584594e-05,5.485649226755809e-05,0.000332439940104555,7.77449978735686e-06,6.429657740128971e-06,S08
4.612422811405632e-05,-3.0047671995672973e-05,5.6683449238634186e-05,6.816358114272964e-06,2.1802033261256138e-05,S09
2.4579893446638162e-06,-1.665459896746939e-05,7.023401664815865e-05,4.8276019742494474e-05,1.6522628201900816e-05,S10
